Name,NumCaAtoms,Vassiliev,RuntimeSeconds,NumProjections
7lww,995,0.018,12563.086168050766,1000
7lws,1000,0.0185,12673.583395957947,1000
7lyn,996,0.0035,12601.464334011078,1000
6acd,1065,0.2225,14580.164099931717,1000
6zgg,1069,0.098,14626.257626056671,1000
7lwt,993,0.008,12498.863844871521,1000
6xkl,968,-0.0065,11994.210357904434,1000
7lww,995,0.013,5154.828850984573,1000
7lws,1000,0.0035,5340.575222015381,1000
7lyn,996,-0.0115,5397.507014036179,1000
6acd,1065,0.227,6071.297049999237,1000
6zgg,1069,0.126,6485.333831071854,1000
7lwt,993,0.0125,5594.2769820690155,1000
6xkl,968,-0.013,4996.328341960907,1000
7lww,995,0.0165,5318.505153894424,1000
7lws,1000,0.02,5510.898326158524,1000
7lyn,996,-0.0025,5268.314339876175,1000
6acd,1065,0.2285,5961.576461076736,1000
6zgg,1069,0.1385,6101.419826030731,1000
7lwt,993,0.0015,5289.041930913925,1000
6xkl,968,-0.0015,5206.221940040588,1000
